"Artikel","Fabrikantscode","Merk","Omschrijving","Prijs","Prijs_incl_heffingen","Voorraad","produktindeling","UNSPSC_code","EAN_code","status","Verwijderingsbijdrage","Thuiskopie","Stibat"
"HPI-U85BHE","U85BHE","HP Printing & Computing","HP 3y Essential Offsite NB-HP EliteBook8xx 1y Warranty G11+-3 yr Offsite Per Country Support Model Pick up Return or Return to Depot 5pm- Std bus days excl HP","86.09","86.09","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85BQE","U85BQE","HP Printing & Computing","HP 3y Premium Onsite NB-HP EliteBook 8xx 1y Warranty G11+-3yr NBD day onsite response. 8am-5pm- Std bus days excluding HP holidays. Commercial Products Only","115.35","115.35","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85BRE","U85BRE","HP Printing & Computing","HP 4y Premium Onsite NB-HP EliteBook 8xx 1y Warranty G11+-4yr NBD day onsite response. 8am-5pm- Std bus days excluding HP holidays. Commercial Products Only","152.97","152.97","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85BSE","U85BSE","HP Printing & Computing","HP 5y Premium Onsite NB-HP EliteBook 8xx 1y Warranty G11+-5yr NBD day onsite response. 8am-5pm- Std bus days excluding HP holidays. Commercial Products Only","191.42","191.42","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85BXE","U85BXE","HP Printing & Computing","HP 3y Premium Onsite DMR NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Support during standard business hrs w/ Next Business Day onsite response with Defective","124.55","124.55","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85BYE","U85BYE","HP Printing & Computing","HP 4y Premium Onsite DMR NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Support during standard business hrs w/ Next Business Day onsite response with Defective","165.50","165.50","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85C3E","U85C3E","HP Printing & Computing","HP 3y Premium Onsite TRV NB-HP EliteBook 8xx 1y Warranty G11+-3y Travel HW supp-CPU only- NextBusDay onsite resp where avail in selected countries WW.8am-5pm-St","121.20","121.20","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85C4E","U85C4E","HP Printing & Computing","HP 4y Premium Onsite TRV NB-HP EliteBook 8xx 1y Warranty G11+-4y Travel HW supp-CPU only- NextBusDay onsite resp where avail in selected countries WW.8am-5pm-St","161.32","161.32","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85C5E","U85C5E","HP Printing & Computing","HP 5y Premium Onsite TRV NB-HP EliteBook 8xx 1y Warranty G11+-5y Travel HW supp-CPU only- NextBusDay onsite resp where avail in selected countries WW.8am-5pm-St","200.61","200.61","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85CHE","U85CHE","HP Printing & Computing","HP 3y Premium+ Onsite DMR TRV Sol NB-HPEliteBook 8xx 1y Warranty G11+-HW Onsite w/DMR/PC Solution Break Fix Support Active Care Enabled Proactive Support 3 Yea","200.61","200.61","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
